name,Plan_ID,typ,node_check,DC_OPF_node,Assume_BA,capa_MW,weights,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
PP_2710_HC2,PP_2710,hydro,28601,n_28601,CPLE,2.5,0.000143659,10000,0,0,0,0,0,0,0,0
PP_2714_1,PP_2714,hydro,15691,n_15691,CPLE,22,0.001264201,10000,0,0,0,0,0,0,0,0
PP_2714_2,PP_2714,hydro,15691,n_15691,CPLE,18,0.001034346,10000,0,0,0,0,0,0,0,0
PP_2714_3,PP_2714,hydro,15691,n_15691,CPLE,22,0.001264201,10000,0,0,0,0,0,0,0,0
PP_2714_4,PP_2714,hydro,15691,n_15691,CPLE,22,0.001264201,10000,0,0,0,0,0,0,0,0
PP_2715_1,PP_2715,hydro,6024,n_6024,CPLE,36,0.002068692,10000,0,0,0,0,0,0,0,0
PP_2715_2,PP_2715,hydro,6024,n_6024,CPLE,36,0.002068692,10000,0,0,0,0,0,0,0,0
PP_2715_3,PP_2715,hydro,6024,n_6024,CPLE,36,0.002068692,10000,0,0,0,0,0,0,0,0
PP_2719_1,PP_2719,hydro,16289,n_16289,DUK,13,0.00037558,10000,0,0,0,0,0,0,0,0
PP_2719_2,PP_2719,hydro,16289,n_16289,DUK,13,0.00037558,10000,0,0,0,0,0,0,0,0
PP_2719_3,PP_2719,hydro,16289,n_16289,DUK,1.7,4.91144E-05,10000,0,0,0,0,0,0,0,0
PP_2722_1,PP_2722,hydro,6646,n_6646,DUK,87.5,0.002527945,10000,0,0,0,0,0,0,0,0
PP_2722_2,PP_2722,hydro,6646,n_6646,DUK,87.5,0.002527945,10000,0,0,0,0,0,0,0,0
PP_2722_3,PP_2722,hydro,6646,n_6646,DUK,87.5,0.002527945,10000,0,0,0,0,0,0,0,0
PP_2722_4,PP_2722,hydro,6646,n_6646,DUK,87.5,0.002527945,10000,0,0,0,0,0,0,0,0
PP_2726_1,PP_2726,hydro,29021,n_29021,DUK,8.6,0.000248461,10000,0,0,0,0,0,0,0,0
PP_2726_2,PP_2726,hydro,29021,n_29021,DUK,8.6,0.000248461,10000,0,0,0,0,0,0,0,0
PP_2726_3,PP_2726,hydro,29021,n_29021,DUK,8.6,0.000248461,10000,0,0,0,0,0,0,0,0
PP_2728_1,PP_2728,hydro,30415,n_30415,DUK,15,0.000433362,10000,0,0,0,0,0,0,0,0
PP_2728_2,PP_2728,hydro,30415,n_30415,DUK,15,0.000433362,10000,0,0,0,0,0,0,0,0
PP_2728_3,PP_2728,hydro,30415,n_30415,DUK,15,0.000433362,10000,0,0,0,0,0,0,0,0
PP_2728_4,PP_2728,hydro,30415,n_30415,DUK,15,0.000433362,10000,0,0,0,0,0,0,0,0
PP_2729_1,PP_2729,hydro,15622,n_15622,DUK,18,0.000520034,10000,0,0,0,0,0,0,0,0
PP_2729_2,PP_2729,hydro,15622,n_15622,DUK,18,0.000520034,10000,0,0,0,0,0,0,0,0
PP_2730_1,PP_2730,hydro,14194,n_14194,DUK,8.5,0.000245572,10000,0,0,0,0,0,0,0,0
