,name,typ,node,M2S_node,maxcap,Gen_MWh,Weights,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn,Long,Lat,geometry,index_right,NAME
364,oil_23782,oil,23782,n_23782,9.2,9.2,,10.79482,3.496,2.0,4.612631531,644,9.2,1,1,-77.66216148,35.22219519,POINT (-77.66216147999999 35.22219519),0,DUKE ENERGY PROGRESS EAST
377,oil_7031,oil,7031,n_7031,10.8,10.8,,9.546,4.104,2.0,4.788403247,756,10.8,1,1,-79.81288699,35.89339521,POINT (-79.81288699 35.89339521),0,DUKE ENERGY PROGRESS EAST
378,oil_7041,oil,7041,n_7041,11.0,11.0,,13.165,4.18,2.0,6.72603433,770,11.0,1,1,-80.01383962,36.01823764,POINT (-80.01383962 36.01823764),0,DUKE ENERGY PROGRESS EAST
379,PP_2716_GT1,oil,28662,n_28662,39.7,39.7,,49.05,15.086,2.0,90.44301876,2779,39.7,1,1,-78.97493341,34.58879642,POINT (-78.97493341000001 34.58879642),0,DUKE ENERGY PROGRESS EAST
380,PP_2716_GT2,oil,28662,n_28662,39.7,39.7,,51.191,15.086,2.0,94.3907966,2779,39.7,1,1,-78.97493341,34.58879642,POINT (-78.97493341000001 34.58879642),0,DUKE ENERGY PROGRESS EAST
381,PP_2716_GT3,oil,28662,n_28662,41.8,41.8,,49.719,15.884,2.0,96.52597519,2926,41.8,1,1,-78.97493341,34.58879642,POINT (-78.97493341000001 34.58879642),0,DUKE ENERGY PROGRESS EAST
382,PP_2716_GT4,oil,28662,n_28662,41.8,41.8,,54.803,15.884,2.0,106.396207,2926,41.8,1,1,-78.97493341,34.58879642,POINT (-78.97493341000001 34.58879642),0,DUKE ENERGY PROGRESS EAST
383,PP_3320_1,oil,9900,n_9900,11.5,11.5,,18.3971,4.37,2.0,9.826361572,805,11.5,1,1,-78.91560759,33.77532078,POINT (-78.91560758999999 33.77532078),0,DUKE ENERGY PROGRESS EAST
384,PP_3320_2,oil,9900,n_9900,11.5,11.5,,18.3971,4.37,2.0,9.826361572,805,11.5,1,1,-78.91560759,33.77532078,POINT (-78.91560758999999 33.77532078),0,DUKE ENERGY PROGRESS EAST
385,PP_3320_3,oil,9900,n_9900,26.6,26.6,,56.959,10.108,2.0,70.37031964,1862,26.6,1,1,-78.91560759,33.77532078,POINT (-78.91560758999999 33.77532078),0,DUKE ENERGY PROGRESS EAST
386,PP_3320_4,oil,9900,n_9900,26.6,26.6,,18.3971,10.108,2.0,22.72880155,1862,26.6,1,1,-78.91560759,33.77532078,POINT (-78.91560758999999 33.77532078),0,DUKE ENERGY PROGRESS EAST
387,PP_3320_5,oil,9900,n_9900,35.3,35.3,,15.189,13.414,2.0,24.90287098,2471,35.3,1,1,-78.91560759,33.77532078,POINT (-78.91560758999999 33.77532078),0,DUKE ENERGY PROGRESS EAST
388,PP_50555_GEN1,oil,10054,n_10054,86.0,86.0,,18.0,32.68,2.0,71.89794665,6020,86.0,1,1,-77.66068553,36.45163128,POINT (-77.66068552999999 36.45163128),0,DUKE ENERGY PROGRESS EAST
389,PP_50555_GEN2,oil,10054,n_10054,40.0,40.0,,18.0,15.2,2.0,33.44090542,2800,40.0,1,1,-77.66068553,36.45163128,POINT (-77.66068552999999 36.45163128),0,DUKE ENERGY PROGRESS EAST
390,PP_50555_GEN3,oil,10054,n_10054,54.0,54.0,,18.0,20.52,2.0,45.14522231,3780,54.0,1,1,-77.66068553,36.45163128,POINT (-77.66068552999999 36.45163128),0,DUKE ENERGY PROGRESS EAST
391,n_10002_solar,solar,10002,n_10002,10000.0,5.0,,0.0,0.0,0.0,0.0,0,0.0,0,0,-77.84791581,35.80337081,POINT (-77.84791581 35.80337081),0,DUKE ENERGY PROGRESS EAST
392,n_10009_solar,solar,10009,n_10009,10000.0,10.0,,0.0,0.0,0.0,0.0,0,0.0,0,0,-79.13474779,35.46659808,POINT (-79.13474779000001 35.46659808),0,DUKE ENERGY PROGRESS EAST
393,n_10012_solar,solar,10012,n_10012,10000.0,5.0,,0.0,0.0,0.0,0.0,0,0.0,0,0,-79.40205478,35.32571721,POINT (-79.40205478 35.32571721),0,DUKE ENERGY PROGRESS EAST
395,n_10015_solar,solar,10015,n_10015,10000.0,6.0,,0.0,0.0,0.0,0.0,0,0.0,0,0,-79.08642536,35.81680057,POINT (-79.08642536000001 35.81680057),0,DUKE ENERGY PROGRESS EAST
397,n_10039_solar,solar,10039,n_10039,10000.0,17.0,,0.0,0.0,0.0,0.0,0,0.0,0,0,-77.38388511,35.79568003,POINT (-77.38388510999999 35.79568003),0,DUKE ENERGY PROGRESS EAST
