,name,typ,M2S_node,Assumed BA,Gen_MWh,weights
355,oil_15511,oil,n_15511,DUK,2.0,0.01486988847583643
356,oil_15630,oil,n_15630,DUK,3.6,0.026765799256505577
357,oil_15641,oil,n_15641,DUK,3.6,0.026765799256505577
358,oil_15692,oil,n_15692,DUK,5.4,0.04014869888475837
359,oil_15782,oil,n_15782,DUK,1.8,0.013382899628252789
360,oil_17246,oil,n_17246,DUK,2.9,0.021561338289962824
361,oil_18302,oil,n_18302,DUK,5.8,0.04312267657992565
362,oil_18690,oil,n_18690,DUK,2.2,0.016356877323420074
363,oil_21285,oil,n_21285,DUK,2.2,0.016356877323420074
364,oil_23782,oil,n_23782,CPLE,9.2,0.017238148772718752
365,oil_28471,oil,n_28471,DUK,2.2,0.016356877323420074
366,oil_28504,oil,n_28504,DUK,5.8,0.04312267657992565
367,oil_29228,oil,n_29228,DUK,12.9,0.09591078066914499
368,oil_29477,oil,n_29477,DUK,2.2,0.016356877323420074
369,oil_30212,oil,n_30212,DUK,2.2,0.016356877323420074
370,oil_31224,oil,n_31224,DUK,1.8,0.013382899628252789
371,oil_4459,oil,n_4459,DUK,1.8,0.013382899628252789
372,oil_4475,oil,n_4475,DUK,1.8,0.013382899628252789
373,oil_4478,oil,n_4478,DUK,12.6,0.09368029739776951
374,oil_4496,oil,n_4496,DUK,1.8,0.013382899628252789
375,oil_4517,oil,n_4517,DUK,24.1,0.179182156133829
376,oil_6954,oil,n_6954,DUK,1.8,0.013382899628252789
377,oil_7031,oil,n_7031,DUK,10.8,0.08029739776951673
378,oil_7041,oil,n_7041,DUK,11.0,0.08178438661710037
379,PP_2716_GT1,oil,n_28662,CPLE,39.7,0.07438635937792767
380,PP_2716_GT2,oil,n_28662,CPLE,39.7,0.07438635937792767
381,PP_2716_GT3,oil,n_28662,CPLE,41.8,0.07832115420648303
382,PP_2716_GT4,oil,n_28662,CPLE,41.8,0.07832115420648303
383,PP_3320_1,oil,n_9900,CPLE,11.5,0.02154768596589844
384,PP_3320_2,oil,n_9900,CPLE,11.5,0.02154768596589844
385,PP_3320_3,oil,n_9900,CPLE,26.6,0.049840734495034664
386,PP_3320_4,oil,n_9900,CPLE,26.6,0.049840734495034664
387,PP_3320_5,oil,n_9900,CPLE,35.3,0.06614202735619261
388,PP_50555_GEN1,oil,n_10054,CPLE,86.0,0.1611392167884579
389,PP_50555_GEN2,oil,n_10054,CPLE,40.0,0.07494847292486415
390,PP_50555_GEN3,oil,n_10054,CPLE,54.0,0.1011804384485666
391,n_10002_solar,solar,n_10002,CPLE,5.0,0.0017670966601873123
392,n_10009_solar,solar,n_10009,CPLE,10.0,0.0035341933203746245
393,n_10012_solar,solar,n_10012,CPLE,5.0,0.0017670966601873123
394,n_10014_solar,solar,n_10014,DUK,6.9,0.002508361204013378
395,n_10015_solar,solar,n_10015,CPLE,6.0,0.002120515992224775
396,n_10017_solar,solar,n_10017,DUK,11.1,0.0040351897629780425
397,n_10039_solar,solar,n_10039,CPLE,17.0,0.006008128644636862
398,n_10045_solar,solar,n_10045,CPLE,2.0,0.0007068386640749249
399,n_10051_solar,solar,n_10051,CPLE,4.4,0.0015550450609648349
400,n_10052_solar,solar,n_10052,CPLE,40.0,0.014136773281498498
401,n_10053_solar,solar,n_10053,CPLE,94.9,0.033539494610355186
402,n_10054_solar,solar,n_10054,CPLE,22.0,0.007775225304824174
403,n_10058_solar,solar,n_10058,DUK,45.8,0.01664970190490039
404,n_10584_solar,solar,n_10584,CPLE,6.0,0.002120515992224775
405,n_10707_solar,solar,n_10707,DUK,40.4,0.014686636614802965
406,n_11731_solar,solar,n_11731,CPLE,8.0,0.0028273546562996997
407,n_11742_solar,solar,n_11742,DUK,6.0,0.002181183655663807
408,n_12414_solar,solar,n_12414,DUK,89.3,0.03246328340846299
409,n_12417_solar,solar,n_12417,CPLE,5.0,0.0017670966601873123
410,n_13956_solar,solar,n_13956,CPLE,25.9,0.009153560699770276
411,n_14001_solar,solar,n_14001,DUK,2.0,0.0007270612185546022
412,n_14031_solar,solar,n_14031,DUK,6.0,0.002181183655663807
413,n_14258_solar,solar,n_14258,DUK,5.0,0.0018176530463865056
414,n_14577_solar,solar,n_14577,DUK,2.0,0.0007270612185546022
415,n_14593_solar,solar,n_14593,DUK,3.0,0.0010905918278319034
416,n_14626_solar,solar,n_14626,DUK,61.0,0.02217536716591537
417,n_1517_solar,solar,n_1517,DUK,10.0,0.003635306092773011
418,n_15226_solar,solar,n_15226,DUK,54.7,0.019885124327468372
419,n_15511_solar,solar,n_15511,DUK,19.6,0.0071251999418351026
420,n_15512_solar,solar,n_15512,DUK,218.8,0.07954049730987349
421,n_15622_solar,solar,n_15622,DUK,10.0,0.003635306092773011
422,n_15630_solar,solar,n_15630,DUK,31.0,0.011269448887596335
423,n_15632_solar,solar,n_15632,DUK,130.3,0.04736803838883234
424,n_15664_solar,solar,n_15664,DUK,5.0,0.0018176530463865056
425,n_15689_solar,solar,n_15689,CPLE,5.0,0.0017670966601873123
426,n_15690_solar,solar,n_15690,CPLE,2.0,0.0007068386640749249
427,n_15691_solar,solar,n_15691,DUK,8.5,0.0030900101788570596
428,n_15692_solar,solar,n_15692,DUK,10.0,0.003635306092773011
429,n_1575_solar,solar,n_1575,DUK,48.0,0.017449469245310455
