,Plant_id,Plant nameplate capacity (MW),Plant primary fuel category,Long,Lat,geometry,Color,Balancing Authority Code,index_right,BA_ID,nearest_node,distance_to_nearest_node
6637,PP_2773,3.6,HYDRO,-82.184005,35.42591,POINT (-82.184005 35.42591),royalblue,DUK,11,DUK,n_15662,0.22812031622370182
6638,PP_56551,2.2,OIL,-80.612301,35.541982,POINT (-80.612301 35.541982),darkviolet,DUK,425,DUK,n_29477,0.03420203377902342
6639,PP_63837,4.9,SOLAR,-78.05327,35.39977,POINT (-78.05327 35.39977),yellow,CPLE,802,CPLE,n_6661,0.047424855365165365
6640,PP_62104,5.0,SOLAR,-78.051,35.395,POINT (-78.051 35.395),yellow,CPLE,802,CPLE,n_6661,0.047428414498133405
6641,PP_63449,5.0,SOLAR,-77.502759,35.19587,POINT (-77.502759 35.19587),yellow,DUK,311,CPLE,n_23782,0.1615616484772474
6642,PP_60538,5.0,SOLAR,-78.413481,35.447278,POINT (-78.413481 35.447278),yellow,DUK,414,CPLE,n_6906,0.08026309692852937
6643,PP_59158,5.0,SOLAR,-77.848889,35.801944,POINT (-77.848889 35.801944),yellow,CPLE,758,CPLE,n_10002,0.0017271032256895942
6644,PP_59486,4.9,SOLAR,-77.808889,34.898889,POINT (-77.808889 34.898889),yellow,DUK,59,CPLE,n_16404,0.15664812709887962
6645,PP_61091,5.0,SOLAR,-79.442969,34.764403,POINT (-79.442969 34.764403),yellow,DUK,229,CPLE,n_9846,0.006166145198403861
6646,PP_59833,5.0,SOLAR,-79.430243,34.756481,POINT (-79.430243 34.756481),yellow,CPLE,229,CPLE,n_9846,0.00901056165660766
6647,PP_60200,2.0,SOLAR,-79.29538,34.707644,POINT (-79.29538 34.707644),yellow,DUK,876,CPLE,n_23777,0.06847404310738905
6648,PP_60783,5.0,SOLAR,-77.623,36.058,POINT (-77.623 36.058),yellow,PJM,704,CPLE,n_6651,0.11010332085296433
6649,PP_58333,5.0,SOLAR,-77.666389,35.331667,POINT (-77.666389 35.331667),yellow,CPLE,565,CPLE,n_9873,0.09476024773351019
6650,PP_58334,5.0,SOLAR,-77.475106,35.350081,POINT (-77.475106 35.350081),yellow,CPLE,106,CPLE,n_6679,0.035514827060377244
6652,PP_56261,3.6,OIL,-80.2594,35.7736,POINT (-80.2594 35.7736),darkviolet,DUK,27,DUK,n_15641,0.04207543030987851
6653,PP_56067,1.8,OIL,-80.242154,35.830877,POINT (-80.242154 35.830877),darkviolet,DUK,357,DUK,n_6954,0.08983826607535915
6654,PP_59921,5.0,SOLAR,-78.801,35.368,POINT (-78.801 35.368),yellow,CPLE,640,CPLE,n_6900,0.09949933602722709
6655,PP_7277,1753.6,GAS,-81.0347,35.4317,POINT (-81.0347 35.4317),red,DUK,862,DUK,n_4099,0.001643886665928275
6656,PP_60399,4.9,SOLAR,-81.817582,35.379505,POINT (-81.817582 35.379505),yellow,DUK,742,DUK,n_15511,0.011367644139394362
6657,PP_56341,1.8,OIL,-81.262259,35.477415,POINT (-81.262259 35.477415),darkviolet,DUK,863,DUK,n_15630,0.1339350981232502
6658,PP_59521,5.0,SOLAR,-79.804167,35.538889,POINT (-79.804167 35.538889),yellow,DUK,781,Overlapping,n_14626,0.1730042330189755
6659,PP_58809,5.0,SOLAR,-77.438056,35.433889,POINT (-77.438056 35.433889),yellow,CPLE,577,CPLE,n_6679,0.07145458466612299
6660,PP_10051,1.2,HYDRO,-79.0912,35.6184,POINT (-79.0912 35.6184),royalblue,CPLE,637,Overlapping,n_30069,0.04542061119578763
6661,PP_57630,5.1,OIL,-81.1414,35.3119,POINT (-81.1414 35.3119),darkviolet,DUK,109,DUK,n_4517,0.09700367362710337
6663,PP_61347,2.0,SOLAR,-77.895125,35.195302,POINT (-77.895125 35.195302),yellow,CPLE,222,CPLE,n_23600,0.138121682152708
6664,PP_2726,25.8,HYDRO,-81.0894,35.7575,POINT (-81.0894 35.7575),royalblue,DUK,453,DUK,n_29021,0.09803530841768077
6665,PP_64173,4.0,SOLAR,-79.53957,36.13621,POINT (-79.53957 36.13621),yellow,DUK,169,DUK,n_7026,0.18364803727494153
6666,PP_61284,2.0,SOLAR,-81.429433,35.241145,POINT (-81.429433 35.241145),yellow,DUK,268,DUK,n_29803,0.07585016589088549
6667,PP_56342,1.8,OIL,-81.2081,35.5772,POINT (-81.2081 35.5772),darkviolet,DUK,714,DUK,n_15630,0.07114536833206478
6668,PP_62668,69.3,SOLAR,-81.167,35.593,POINT (-81.167 35.593),yellow,DUK,713,DUK,n_15632,0.09616835551385274
6669,PP_59520,5.0,SOLAR,-79.521389,36.119167,POINT (-79.521389 36.119167),yellow,DUK,102,DUK,n_1575,0.20353716160600183
6670,PP_59575,5.0,SOLAR,-78.429444,34.745833,POINT (-78.429444 34.745833),yellow,CPLE,659,CPLE,n_28719,0.008199337005205103
6671,PP_59162,5.0,SOLAR,-81.086944,35.373889,POINT (-81.086944 35.373889),yellow,DUK,14,DUK,n_4099,0.07955509993213193
6672,PP_59105,4.9,SOLAR,-79.647222,36.390278,POINT (-79.647222 36.390278),yellow,DUK,329,DUK,n_28710,0.012067552677572448
6673,PP_2727,2119.0,COAL,-80.9658,35.5975,POINT (-80.9658 35.5975),grey,DUK,717,DUK,n_6669,0.0017461875202792099
6674,PP_2710,5.0,HYDRO,-82.710571,35.702527,POINT (-82.710571 35.702527),royalblue,CPLE,17,Overlapping,n_28601,0.1808891788487479
6675,PP_58335,5.0,SOLAR,-80.383611,34.988889,POINT (-80.383611 34.988889),yellow,DUK,277,DUK,n_15782,0.17917305048817272
6676,PP_59124,3.0,SOLAR,-78.386111,36.286389,POINT (-78.386111 36.286389),yellow,CPLE,234,CPLE,n_9859,0.008378582337273212
6677,PP_57461,1.0,SOLAR,-84.015676,35.020415,POINT (-84.015676 35.020415),yellow,DUK,385,DUK,n_1081,0.7548891011556205
6678,PP_57365,2.2,BIOMASS,-78.86,36.0311,POINT (-78.86 36.0311),forestgreen,DUK,117,Overlapping,n_3484,0.01395569599820477
6679,PP_57366,3.3,BIOMASS,-78.0703,35.2889,POINT (-78.0703 35.2889),forestgreen,CPLE,803,CPLE,n_9487,0.018004357545599394
6680,PP_60416,4.9,SOLAR,-79.31463,34.71472,POINT (-79.31463 34.71472),yellow,DUK,876,CPLE,n_23777,0.08542431883856055
6681,PP_57321,1.2,SOLAR,-80.601111,36.476667,POINT (-80.601111 36.476667),yellow,DUK,73,DUK,n_6969,0.004892850155949091
