Plant_id,Plant nameplate capacity (MW),Plant primary fuel category,Long,Lat,geometry,Color,eGRID_BA,index_right,BA_ID,nearest_node,near_st_2,changes?,Assume_BA,distance_to_nearest_node,distance_2
PP_63266,2,SOLAR,-77.513,35.759,POINT (-77.513 35.759),yellow,PJM,90,CPLE,n_10039,n_10039,No,CPLE,0.13422399,0.13422399
PP_60629,2,SOLAR,-78.97198,36.43741,POINT (-78.97198 36.43741),yellow,DUK,524,CPLE,n_6670,n_6670,No,DUK,0.011826135,0.011826135
PP_63692,2,SOLAR,-78.017811,35.167164,POINT (-78.017811 35.167164),yellow,CPLE,56,CPLE,n_18693,n_18693,No,CPLE,0.08235466,0.08235466
PP_61404,5,SOLAR,-77.979166,35.478155,POINT (-77.979166 35.478155),yellow,CPLE,811,CPLE,n_6907,n_6907,No,CPLE,0.137074498,0.137074498
PP_63835,4.9,SOLAR,-80.37635,36.27066,POINT (-80.37635 36.27066),yellow,DUK,128,DUK,n_6965,n_6965,No,DUK,0.013033051,0.013033051
PP_61978,5,SOLAR,-79.51909,35.220823,POINT (-79.51909 35.220823),yellow,CPLE,605,CPLE,n_29016,n_29016,No,CPLE,0.011343756,0.011343756
PP_56345,1.8,OIL,-80.8816,35.0767,POINT (-80.8816 35.0767),darkviolet,DUK,154,DUK,n_4459,n_4459,No,DUK,0.09779582,0.09779582
PP_7826,1192,GAS,-80.6019,35.7314,POINT (-80.6019 35.7314),red,DUK,429,DUK,n_4473,n_4473,No,DUK,0.008620044,0.008620044
PP_63015,5,SOLAR,-77.092,35.138,POINT (-77.092 35.138),yellow,CPLE,271,CPLE,n_12417,n_12417,No,CPLE,0.018612162,0.018612162
PP_59917,5,SOLAR,-77.219,34.998,POINT (-77.219 34.998),yellow,CPLE,313,CPLE,n_9479,n_9479,No,CPLE,0.059601379,0.059601379
PP_59504,5,SOLAR,-77.0743,35.2167,POINT (-77.0743 35.2167),yellow,CPLE,96,CPLE,n_9867,n_9867,No,CPLE,0.074701368,0.074701368
PP_64035,2,SOLAR,-78.372088,35.602063,POINT (-78.372088 35.602063),yellow,CPLE,417,CPLE,n_6904,n_6904,No,CPLE,0.044947478,0.044947478
PP_59533,5,SOLAR,-78.192222,35.504444,POINT (-78.192222 35.504444),yellow,CPLE,157,CPLE,n_340,n_340,No,CPLE,0.104967223,0.104967223
PP_58529,2,SOLAR,-79.447222,34.756389,POINT (-79.447222 34.756389),yellow,CPLE,229,CPLE,n_9846,n_9846,No,CPLE,0.009575793,0.009575793
